resource,animal,source,sha256,date_rejected
app/src/main/res/raw/whale_fs3.mp3,Whale,https://freesound.org/people/SieuAmThanh/sounds/484197/ (id 484197: Thằn Lằn Khổng Lộ Nước),8c121303e2d3ce8dcf30bf8ff9c6cc33c0bc04499c778fcf78f1238351b88a5a,2026-06-15
app/src/main/res/raw/wolf_fs4.mp3,Wolf,https://freesound.org/people/genel/sounds/399185/ (id 399185: wolf 3.wav),ebab7d0d53d2cb5a835c0bae03c5649e20d1b5446077afe7df2765e0f1d0d2e4,2026-06-15
app/src/main/res/raw/wolf_fs5.mp3,Wolf,https://freesound.org/people/kiwisarecool/sounds/203342/ (id 203342: Howl of the night),426e1e1c4d86199fc5ebe75a9de44c141c0475bf4d9527110941b4aab52f4925,2026-06-15
app/src/main/res/raw/chicken_fs2.mp3,Chicken,https://freesound.org/people/chanyatenn/sounds/424076/ (id 424076: chicken sound - clucking.wav),acf973100cfb195505c670082833afd73015624efbf73b35c0c71f581aa6ec4e,2026-06-15
app/src/main/res/raw/chicken_fs4.mp3,Chicken,https://freesound.org/people/RG2Cents/sounds/536501/ (id 536501: chicken clucking.mp3),ca4aada702d3a6450f20974bc3d16da192bf0e2894ec618fbb1470e9c67d62bb,2026-06-15
app/src/main/res/raw/sheep_fs9.mp3,Sheep,https://freesound.org/people/satoristudios3/sounds/692898/ (id 692898: Twin Lambs Baa-ing),5f54f5ffe4351eb341cae6ab67629c6bafcfa61114c63f368433c1805d1f47fc,2026-06-15
app/src/main/res/raw/owl_fs2.mp3,Owl,https://freesound.org/people/Gerent/sounds/558398/ (id 558398: owl_hooting_000102_0145S3 002-070 000-002 007-015.wav),e4eef0d1c8cabd39856698df7f3c75f1e724712629f465db02924e17abb596e7,2026-06-15
app/src/main/res/raw/cow_fs6.mp3,Cow,https://freesound.org/people/spurioustransients/sounds/513558/ (id 513558: Cow moo #2),849dbba36d3a4d97c72b258b5aecbede7a72077c5dd198cc32973cb663910772,2026-06-15
app/src/main/res/raw/donkey_fs5.mp3,Donkey,"https://freesound.org/people/felix.blume/sounds/705300/ (id 705300: Donkey braying loud with distant village atmosphere, close recording)",400c95531aba19ecc659ca000489d6c80df40acaa18d6fc32bc575487d7635b8,2026-06-15
app/src/main/res/raw/owl_fs8.mp3,Owl,https://freesound.org/people/gfrog/sounds/159727/ (id 159727: Crickets and Owl),97ae42869a4dd25f73ad485650d6f91e7846f367c63a14c07c6a7e08c073026f,2026-06-15
